,Player ID,Name,Full Name,Team Name,Position,Height,Weight,Birth Date,Birth Place,Retired,Player Url,Current Team ID,All Teams,Total Seasons,Total Games,Games Started,Total Minutes Played,Field Goals,Field Goals Attempted,Field Goal %,3pt,3pt Attempted,3pt %,2pt,2pt Attempted,2pt %,Free Throws,Free Throws Attempted,Free Throws %,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points
0,1,Alaa Abdelnaby,Alaa Abdelnaby,retired,F-C,82,240.0,June 24 1968,"Cairo, Egypt",True,/players/a/abdelal01.html,0.0,"[25, 2, 26, 17, 23]",5,385.0,105.0,5017.0,7.04,13.91,50.6,0.0,0.04,0.0,7.04,13.88,50.69,2.38,3.39,70.31,3.22,6.1,9.32,0.89,0.81,0.77,2.78,5.58,16.52
1,2,Zaid Abdul-Aziz,Zaid Abdul-Aziz,retired,C-F,81,235.0,April 7 1946,"Brooklyn, New York",True,/players/a/abdulza01.html,0.0,"[11, 17, 2]",10,570.0,236.66678370954423,12126.0,5.74,13.62,42.12,0.0,0.0,0.0,5.74,13.62,42.12,3.27,4.56,71.79,7.26,6.18,13.43,1.92,0.4,0.61,0.08,3.75,14.78
2,3,Kareem Abdul-Jabbar,Kareem Abdul-Jabbar,retired,C,86,225.0,April 16 1947,"New York, New York",True,/players/a/abdulka01.html,0.0,"[14, 17]",20,1560.0,1558.2161852559768,57446.0,9.92,17.73,55.93,0.0,0.0,0.0,9.91,17.73,55.91,4.21,5.85,72.04,3.98,6.93,10.92,3.54,0.73,2.0,1.58,2.93,24.05
3,4,Mahmoud Abdul-Rauf,Mahmoud Abdul-Rauf,retired,G,73,162.0,March 9 1969,"Gulfport, Mississippi",True,/players/a/abdulma02.html,0.0,"[8, 26]",9,586.0,336.0,15628.0,8.09,18.29,44.22,1.08,3.08,35.04,7.01,15.24,46.0,2.42,2.68,90.2,0.53,2.0,2.51,4.79,1.1,0.11,2.22,2.56,19.69
4,5,Tariq Abdul-Wahad,Tariq Abdul-Wahad,retired,F,78,223.0,November 3 1974,"Maisons Alfort, France",True,/players/a/abdulta01.html,0.0,"[26, 8, 22, 7]",6,321.0,213.0,6826.0,5.55,13.28,41.79,0.14,0.52,26.89,5.42,12.75,42.52,2.85,3.99,71.46,2.27,3.8,6.07,2.05,1.38,0.64,2.32,3.64,14.04
5,6,Shareef Abdur-Rahim,Julius Shareef Abdur-Rahim,retired,F,81,225.0,December 11 1976,"Marietta, Georgia",True,/players/a/abdursh01.html,0.0,"[1, 26, 25]",12,915.0,760.0,31566.0,6.76,14.33,47.18,0.19,0.63,30.06,6.6,13.71,48.11,4.99,6.13,81.42,2.34,5.49,7.85,2.59,1.01,0.77,2.66,2.9,18.73
6,7,Tom Abernethy,Thomas Craig Abernethy,retired,F,79,220.0,May 6 1954,"South Bend, Indiana",True,/players/a/abernto01.html,0.0,"[10, 14, 12]",5,358.0,74.73749876480834,5732.0,4.7,9.61,48.9,0.0,0.01,0.0,4.7,9.57,49.08,2.15,2.91,73.78,2.49,4.2,6.64,2.55,1.21,0.42,0.85,3.5,11.6
7,8,Forest Able,Forest Edward Able,retired,G,75,180.0,July 27 1932,Unknown,True,/players/a/ablefo01.html,0.0,[],1,1.0,1.0,1.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,31.5,4.51,36.0,36.0,0.0,0.0,0.0,36.0,0.0
8,10,Álex Abrines,Alejandro Abrines Redondo Abrines,retired,G-F,78,200.0,August 1 1993,"Palma de Mallorca, Spain",True,/players/a/abrinal01.html,0.0,[],3,174.0,16.0,2777.0,3.98,10.2,39.02,2.85,7.7,36.98,1.13,2.5,45.32,1.21,1.43,84.61,0.62,2.57,3.19,1.15,1.2,0.32,0.94,3.75,11.99
9,11,Alex Acker,Alex Acker,retired,G,77,185.0,January 21 1983,"Compton, California",True,/players/a/ackeral01.html,0.0,"[13, 9]",2,55.0,0.0,433.0,5.3,13.96,37.93,1.26,3.72,33.77,4.08,10.23,39.93,0.83,1.65,50.0,1.39,2.99,4.37,2.34,0.91,0.65,1.51,1.81,12.72
10,12,Don Ackerman,Donald D. Ackerman,retired,G,72,183.0,September 4 1930,"New York, New York",True,/players/a/ackerdo01.html,0.0,[],1,28.0,0.0,220.0,2.3,10.3,22.33,0.0,0.0,0.0,2.3,10.3,22.33,2.5,4.6,54.35,0.0,2.5,2.5,3.8,0.0,0.0,0.0,7.0,7.0
11,13,Mark Acres,Mark Richard Acres,retired,F-C,83,220.0,November 15 1962,"Inglewood, California",True,/players/a/acresma01.html,0.0,"[22, 2, 11]",6,393.0,75.0,6251.0,3.1,6.15,50.39,0.05,0.1,48.67,3.08,6.05,50.97,1.85,2.77,66.59,3.5,5.68,9.16,1.07,0.82,0.62,1.44,5.58,8.11
12,14,Bud Acton,Charles R. Acton,retired,F,78,210.0,January 11 1942,Unknown,True,/players/a/actonbu01.html,0.0,[],1,23.0,0.0,195.0,5.4,13.7,39.42,0.0,0.0,0.0,5.4,13.7,39.42,3.5,5.4,64.81,4.26,4.44,8.7,2.0,0.0,0.0,0.0,6.5,14.2
13,15,Quincy Acy,Quincy Jyrome Acy,retired,F-C,79,240.0,October 6 1990,"Tyler, Texas",True,/players/a/acyqu01.html,0.0,"[26, 20, 28, 24, 7]",7,438.0,61.0,6797.0,3.8,8.62,44.09,1.19,3.32,35.81,2.6,5.29,49.09,1.98,2.65,74.6,2.15,5.86,7.99,1.4,0.96,0.95,1.44,4.51,10.78
14,16,Alvan Adams,Alvan Leigh Adams,retired,C-F,81,210.0,July 19 1954,"Lawrence, Kansas",True,/players/a/adamsal01.html,0.0,[],13,988.0,665.5726070219124,27203.0,7.54,15.16,49.75,0.0,0.01,0.0,7.54,15.14,49.84,3.29,4.18,78.77,2.68,6.51,9.18,5.31,1.7,1.08,2.9,4.25,18.42
15,17,Don Adams,Donald L. Adams,retired,F,78,210.0,November 27 1947,"Atlanta, Georgia",True,/players/a/adamsdo01.html,0.0,"[9, 1]",7,634.0,359.2488142991974,16352.0,4.94,12.46,39.67,0.0,0.0,0.0,4.94,12.46,39.67,2.7,3.58,75.5,3.44,4.64,8.09,2.46,0.62,0.12,0.0,4.58,12.64
16,19,Hassan Adams,Hassan Olawale Adams,retired,G,76,220.0,June 20 1984,"Inglewood, California",True,/players/a/adamsha01.html,0.0,"[3, 28]",2,73.0,8.0,547.0,5.24,9.72,53.92,0.0,0.09,0.0,5.24,9.63,54.43,1.74,2.75,63.15,2.33,3.2,5.52,0.88,1.15,0.34,1.71,3.34,12.22
17,20,Jaylen Adams,Jaylen Tairique Adams,retired,G,74,190.0,May 4 1996,"Baltimore, Maryland",True,/players/a/adamsja01.html,0.0,[],1,34.0,1.0,428.0,3.2,9.3,34.41,2.1,6.2,33.87,1.1,3.0,36.67,0.6,0.8,75.0,0.9,4.1,5.0,5.5,1.2,0.4,2.4,3.8,9.1
18,21,Jordan Adams,Jordan LaVell Adams,retired,G,77,209.0,July 8 1994,"Atlanta, Georgia",True,/players/a/adamsjo01.html,0.0,[],2,32.0,0.0,263.0,5.08,12.61,40.31,1.41,3.53,40.05,3.67,9.08,40.42,2.3,3.8,60.5,1.23,2.91,4.14,2.58,2.58,0.94,2.16,3.57,13.78
19,22,Michael Adams,Michael Adams,retired,G,70,162.0,January 19 1963,"Hartford, Connecticut",True,/players/a/adamsmi01.html,0.0,"[8, 26]",11,653.0,510.0,20446.0,5.72,13.83,41.38,1.66,5.04,33.05,4.05,8.8,46.02,3.81,4.48,85.05,0.72,2.6,3.35,7.4,1.9,0.11,2.47,2.11,16.93
20,23,Steven Adams,Steven Funaki Adams,Oklahoma City Thunder,C,83,265.0,July 20 1993,"Rotorua, New Zealand",False,/players/a/adamsst01.html,21.0,[21],7,516.0,452.0,13849.0,5.44,9.26,58.74,0.0,0.01,0.0,5.44,9.25,58.8,2.21,3.94,56.01,4.62,5.53,10.13,1.55,1.18,1.34,1.91,3.54,13.07
21,24,Rafael Addison,Rafael Addison,retired,F-G,79,215.0,July 22 1964,"Jersey City,New Jersey",True,/players/a/addisra01.html,0.0,"[3, 9, 24]",6,379.0,54.0,5697.0,5.82,12.94,44.99,0.43,1.56,27.58,5.39,11.38,47.36,1.76,2.26,77.81,1.67,3.26,4.95,2.13,0.95,0.53,1.78,4.25,13.81
22,25,Bam Adebayo,Edrice Femi Adebayo,Miami Heat,C-F,81,255.0,July 18 1997,"Newark, New Jersey",False,/players/a/adebaba01.html,16.0,[16],3,206.0,102.0,5183.0,5.56,9.85,56.38,0.04,0.24,15.58,5.52,9.68,57.01,3.4,4.81,70.68,2.95,7.86,10.81,3.91,1.17,1.17,2.33,3.27,14.51
23,26,Deng Adel,Deng Adel,retired,F,79,200.0,February 1 1997,"Juba, South Sudan",True,/players/a/adelde01.html,0.0,[],1,19.0,3.0,194.0,2.0,6.7,29.85,1.1,4.3,25.58,0.9,2.4,37.5,0.7,0.7,100.0,0.6,3.0,3.5,0.9,0.2,0.7,1.1,2.4,5.9
24,27,Rick Adelman,Richard Leonard Adelman,retired,G,73,175.0,June 16 1946,"Lynwood, California",True,/players/a/adelmri01.html,0.0,"[25, 5]",7,520.0,223.61894502124642,11501.0,4.69,11.35,41.3,0.0,0.0,0.0,4.69,11.35,41.3,2.78,3.93,70.65,0.33,3.51,3.84,5.38,0.55,0.06,0.0,3.42,12.21
25,28,Jeff Adrien,Jeff Adrien,retired,F,79,245.0,February 10 1986,"Brookline, Massachusetts",True,/players/a/adrieje01.html,0.0,"[4, 17, 10, 18, 11]",5,206.0,29.0,3109.0,4.72,9.64,49.02,0.0,0.02,0.0,4.72,9.61,49.13,2.96,4.72,62.73,3.72,7.42,11.19,1.59,0.86,1.33,1.52,4.21,12.43
26,29,Arron Afflalo,Arron Agustin Afflalo,retired,G-F,77,210.0,October 15 1985,"Los Angeles, California",True,/players/a/afflaar01.html,0.0,"[8, 22, 9, 20, 26, 25]",11,840.0,609.0,23331.0,5.18,11.6,44.62,1.5,3.9,38.47,3.69,7.67,48.15,2.39,2.88,83.05,0.57,3.18,3.74,2.34,0.59,0.23,1.51,2.54,14.24
27,30,Maurice Ager,Maurice Darnell Ager,retired,G,77,202.0,February 9 1984,"Detroit, Michigan",True,/players/a/agerma01.html,0.0,"[7, 3, 18]",4,108.0,7.0,670.0,4.56,13.66,33.41,0.75,3.36,22.2,3.82,10.26,37.21,1.94,3.51,55.22,0.66,2.55,3.16,1.44,0.33,0.37,1.87,4.39,11.8
28,31,Mark Aguirre,Mark Anthony Aguirre,retired,F-G,78,232.0,December 10 1959,"Chicago, Illinois",True,/players/a/aguirma01.html,0.0,"[7, 9, 13]",13,1003.0,715.0,30327.0,9.24,19.15,48.25,0.52,1.69,30.84,8.71,17.47,49.9,4.7,6.33,74.21,2.19,3.7,5.91,3.73,0.86,0.39,2.98,3.36,23.69
29,32,Blake Ahearn,Daniel Blake Ahearn,retired,G,74,190.0,May 27 1984,"St. Louis, Missouri",True,/players/a/ahearbl01.html,0.0,"[16, 29, 27]",3,19.0,0.0,226.0,3.38,12.27,27.58,2.2,7.48,29.48,1.1,4.8,22.97,5.1,5.25,97.02,0.16,3.38,3.53,3.53,1.1,0.0,3.54,4.33,13.99
30,33,Danny Ainge,Daniel Ray Ainge,retired,G,76,175.0,March 17 1959,"Eugene, Oregon",True,/players/a/aingeda01.html,0.0,"[2, 24, 25, 26]",14,1115.0,562.0,30132.0,6.12,13.09,46.77,1.34,3.54,37.78,4.79,9.56,50.12,2.24,2.64,84.9,0.92,2.7,3.62,5.51,1.46,0.16,2.04,3.26,15.82
31,35,Alexis Ajinça,Alexis Ajinça,retired,C-F,86,248.0,May 6 1988,"Saint-Etienne, France",True,/players/a/ajincal01.html,0.0,"[4, 28, 7]",7,327.0,78.0,4245.0,5.96,12.02,49.61,0.2,0.62,32.65,5.76,11.37,50.7,2.24,2.81,79.51,3.07,7.33,10.4,1.3,0.97,1.69,2.28,6.23,14.38
32,36,Henry Akin,Henry T. Akin,retired,C-F,82,225.0,July 31 1944,"Detroit, Michigan",True,/players/a/akinhe01.html,0.0,[20],2,86.0,0.0,712.0,6.53,18.55,35.18,0.0,0.0,0.0,6.53,18.55,35.18,2.35,3.41,69.07,4.48,4.44,8.92,1.96,0.0,0.0,0.0,6.57,15.41
33,37,Josh Akognon,Joshua Emmanuel Akognon,retired,G,71,185.0,February 10 1986,"Greenbrae, California",True,/players/a/akognjo01.html,0.0,[],1,3.0,0.0,9.0,8.0,16.0,50.0,4.0,8.0,50.0,4.0,8.0,50.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,0.0,12.0,20.0
34,38,DeVaughn Akoon-Purcell,DeVaughn Akoon-Purcell,retired,G,78,200.0,June 5 1993,"Orlando, Florida",True,/players/a/akoonde01.html,0.0,[],1,7.0,0.0,22.0,4.9,16.4,29.88,0.0,6.5,0.0,4.9,9.8,50.0,1.6,3.3,48.48,1.6,4.9,6.5,9.8,3.3,0.0,3.3,6.5,11.5
35,39,Solomon Alabi,Makafan Solomon Alabi,retired,C,85,251.0,March 21 1988,"Kaduna, Nigeria",True,/players/a/alabiso01.html,0.0,[],2,26.0,0.0,181.0,3.15,10.14,31.03,0.0,0.0,0.0,3.15,10.14,31.03,1.42,2.01,70.46,4.37,7.74,12.14,1.0,0.8,2.21,1.6,3.17,7.74
