Index,Team ID,Team Name,Number of Players,Height,Weight,Number of Birth Places,Total Games,Total Minutes Played,Field Goals,Field Goals Attempted,Field Goal %,3pt,3pt Attempted,3pt %,2pt,2pt Attempted,2pt %,Free Throws,Free Throws Attempted,Free Throws %,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points
0,0,retired,3649,78.6,212.27,1383,1160074,27159654,5.84,12.84,45.48,0.47,1.35,34.61,5.37,11.48,46.75,3.04,4.06,74.81,2.27,4.42,6.7,3.43,1.01,0.62,1.76,3.51,15.18
1,1,Atlanta Hawks,17,79.32,221.74,16,5029,126903,6.44,14,46.04,1.31,3.65,35.81,5.13,10.34,49.59,3.24,4.2,76.98,1.74,4.83,6.57,3.88,1.16,0.89,2.25,3.37,17.43
2,2,Boston Celtics,17,77.97,221.4,16,3577,92599,6.39,14.04,45.53,1.5,4.21,35.5,4.9,9.83,49.86,3.37,4.2,80.23,1.74,4.82,6.54,3.65,1.21,0.6,2.2,2.73,17.64
3,3,Brooklyn Nets,18,78.86,220.59,17,5553,152341,6.4,13.36,47.9,1.52,4.19,36.21,4.89,9.18,53.21,3.36,4.39,76.46,1.53,5.59,7.11,3.27,1.04,0.95,2.25,2.88,17.67
4,4,Charlotte Hornets,15,79.64,218.33,13,3127,72124,4.84,10.8,44.81,1.28,3.66,34.97,3.57,7.14,49.96,2.27,3.09,73.51,1.95,5.57,7.54,3.18,0.98,1.01,1.92,2.9,13.22
5,5,Chicago Bulls,17,79.5,213.47,17,3536,90667,5.99,12.78,46.84,1.25,3.48,36,4.73,9.3,50.85,1.97,2.63,74.7,1.66,4.79,6.46,3,1.47,0.53,1.83,2.84,15.18
6,6,Cleveland Cavaliers,19,78.96,224.64,18,3749,97197,5.83,12.2,47.83,0.94,2.67,35.32,4.88,9.52,51.22,2.83,4.18,67.81,3.22,7.19,10.42,2.66,1.06,0.81,2.06,3.14,15.44
7,7,Dallas Mavericks,17,78.26,217.28,17,5670,127836,5.68,12.45,45.62,1.45,4.07,35.65,4.23,8.37,50.51,2.41,3.13,77.09,1.37,4.45,5.82,3.16,1.08,0.65,1.7,2.8,15.23
8,8,Denver Nuggets,15,79.26,219.45,14,4700,114059,5.97,12.51,47.76,1.08,3.12,34.53,4.9,9.4,52.17,2.88,3.97,72.6,2.08,5.64,7.71,3.32,1.26,1,2.01,3.29,15.93
9,9,Detroit Pistons,17,77.67,215.25,17,5598,140901,6.43,14.29,44.98,1.35,3.9,34.67,5.07,10.39,48.79,2.88,3.79,76,1.34,4.53,5.87,4,0.98,0.6,2.28,2.84,17.09
10,10,Golden State Warriors,14,77.66,212.03,12,3271,93644,6.91,15.15,45.59,2.28,5.8,39.27,4.64,9.34,49.65,2.9,3.65,79.33,1.12,4.46,5.57,4.34,1.36,0.69,2.45,2.86,19
11,11,Houston Rockets,16,78.15,218.56,15,7114,199527,5.54,12.43,44.6,1.57,4.47,35.2,3.97,7.95,49.87,3.48,4.46,78.12,1.6,4.99,6.59,3.7,1.37,0.66,2.4,3.02,16.14
12,12,Indiana Pacers,17,78.18,209.12,17,4120,95556,6,13.02,46.12,1.41,3.93,35.88,4.6,9.09,50.65,2.27,2.87,79.1,1.14,4.65,5.78,3.16,1.22,0.72,1.86,2.91,15.68
13,13,Los Angeles Clippers,15,78.11,215.3,15,5649,141665,6.21,13.71,45.3,1.82,4.91,37.14,4.39,8.81,49.81,3.25,4.04,80.47,1.5,4.84,6.33,3.08,1.29,0.6,1.96,2.92,17.49
14,14,Los Angeles Lakers,16,78.82,228.41,14,8867,254341,6.78,13.89,48.81,1.14,3.16,35.97,5.64,10.73,52.57,3.49,5.06,68.92,1.86,5.89,7.74,3.93,1.35,1.06,2.53,2.8,18.2
15,15,Memphis Grizzlies,16,79.59,228.89,16,2933,64684,5.66,11.66,48.55,0.77,2.29,33.82,4.88,9.37,52.05,2.49,3.31,75.27,2.12,6.09,8.2,3.03,1.22,1.09,2.09,3.52,14.61
16,16,Miami Heat,17,78.73,224.09,17,6280,165276,5.22,11.3,46.14,1.19,3.42,34.7,4.03,7.89,51.07,2.83,3.68,76.94,1.48,4.81,6.29,3.61,1.28,0.5,1.9,2.82,14.44
17,17,Milwaukee Bucks,17,78.91,226.25,15,9313,247443,5.78,12.51,46.21,1.6,4.25,37.72,4.18,8.26,50.61,2.71,3.42,79.39,1.46,4.58,6.04,2.86,1.08,0.8,1.85,2.93,15.88
18,18,Minnesota Timberwolves,17,78.35,219.6,16,3689,85598,6.04,13.39,45.08,1.51,4.32,34.89,4.53,9.07,49.89,2.37,3.06,77.53,1.32,5.23,6.56,3.58,1.11,0.76,2.29,3.03,15.96
19,19,New Orleans Pelicans,17,77.32,218.94,17,4366,112162,6.04,13.01,46.39,1.56,4.15,37.55,4.46,8.87,50.33,2.33,3.11,75.07,1.32,4.06,5.38,3.63,1.06,0.7,2.06,2.86,15.96
20,20,New York Knicks,16,78.01,211.65,16,4767,113133,5.6,12.28,45.59,1.19,3.4,35.12,4.41,8.87,49.75,2.01,2.86,70.37,1.82,4.8,6.63,2.99,1.1,0.73,1.95,3.07,14.41
21,21,Oklahoma City Thunder,17,78.56,213.42,17,4450,116535,5.78,12.36,46.78,1.27,3.55,35.64,4.52,8.81,51.3,3.34,4.17,80.15,1.52,4.53,6.05,4.81,1.51,0.66,2.07,2.91,16.17
22,22,Orlando Magic,17,77.8,208.84,16,5605,136844,5.51,12.55,43.95,1.48,4.22,35.2,4.03,8.33,48.44,2.36,3.04,77.52,1.47,4.87,6.33,3.4,1.17,0.63,1.96,2.83,14.88
23,23,Philadelphia 76ers,16,79.11,225.71,16,4911,120935,6.32,13.28,47.6,1.21,3.38,35.85,5.1,9.91,51.49,2.67,3.45,77.42,1.65,5.85,7.49,3.3,1.02,0.89,1.98,2.87,16.53
24,24,Phoenix Suns,16,79.02,216.84,15,3078,74429,5.73,12.98,44.12,1.44,4.23,33.99,4.29,8.75,48.98,3.13,3.83,81.71,1.5,5.02,6.53,4.2,1.27,0.53,2.35,3.39,16.04
25,25,Portland Trail Blazers,16,79.84,224.27,16,5544,158821,6.89,15.32,44.96,1.64,4.55,36.01,5.25,10.78,48.72,3.58,4.54,79.04,1.54,5,6.55,3.18,1.19,0.7,2.24,2.85,19
26,26,Sacramento Kings,16,78.24,220.06,14,5002,118272,5.67,12.68,44.74,1.68,4.59,36.63,4,8.09,49.37,2.23,2.92,76.24,1.24,4.62,5.86,3,1.1,0.53,1.86,2.9,15.27
27,27,San Antonio Spurs,16,78.5,218.43,16,6402,169583,6.69,14.62,45.75,1.18,3.28,35.84,5.52,11.34,48.7,3.23,4.02,80.4,1.49,4.54,6.02,2.78,1.07,0.64,1.91,2.6,17.8
28,28,Toronto Raptors,17,78.6,220.63,17,4824,126693,5.69,12.35,46.11,1.26,3.57,35.4,4.43,8.77,50.48,2.85,3.64,78.2,1.57,5.37,6.94,3.76,1.17,1.15,2.09,3.24,15.5
29,29,Utah Jazz,17,77.88,212.01,17,4589,118185,5.88,12.59,46.72,1.49,4.01,37.09,4.39,8.59,51.08,2.7,3.6,74.93,1.49,4.75,6.24,3.77,1.15,0.68,2.15,2.75,15.95
30,30,Washington Wizards,17,76.59,206.7,16,3886,87588,6.17,13.82,44.63,1.32,3.76,35.16,4.84,10.06,48.15,2.87,3.81,75.15,1.16,4.24,5.39,5.35,1.35,0.67,2.56,2.93,16.52
